Code,food_name,GI,GL
P034,Mackerel (Rastrelliger kanagurta),,
P035,Manda clathi (Naso reticulatus),,
P036,Matha (Acanthurus mata),,
P037,Milk fish (Chanos chanos),,
P038,Moon fish (Mene maculata),,
P039,Mullet (Mugil cephalus),,
P040,Mural (Tylosurus  crocodilus),,
P041,Myil meen (Istiophorus platypterus),,
P042,Nalla bontha (Epinephelus sp.),,
P043,Narba (Caranx sexfasciatus),,
P044,Paarai (Caranx heberi),,
P045,Padayappa  (Canthidermis maculata),,
P046,Pali kora (Panna microdon),,
P047,Pambada (Lepturacanthus savala),,
P048,Pandukopa (Pseudosciaena manchurica),,
P049,Parava (Lactarius lactarius),,
P050,Parcus (Psettodes erumei),,
P051,Parrot fish  (Scarus ghobban),,
P052,Perinkilichai (Pinjalo pinjalo),,
P053,Phopat (Coryphaena hippurus),,
P054,Piranha (Pygopritis sp.),,
P055,"Pomfret, black  (Parastromateus niger)",,
P056,"Pomfret, snub nose (Trachinotus blochii)",,
P057,"Pomfret, white (Pampus argenteus)",,
P058,Pranel (Gerres sp.),,
P059,Pulli paarai (Gnathanodon speciosus) 399,,
P060,Queen fish (Scomberoides commersonianus) 400?12,,
P061,Raai fish (Lobotes surinamensis),,
P062,Raai vanthu (Epinephelus chlorostigma),,
P063,Rani (Pink perch),,
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",,
P065,Red snapper (Lutjanus argentimaculatus),,
P066,"Red snapper, small (Priacanthus hamrur)",,
P067,Sadaya (Platax orbicularis ),,
P068,Salmon (Salmo salar),,
P069,Sangada (Nemipterus japanicus),,
P070,Sankata paarai  (Caranx ignobilis),,
P071,Sardine (Sardinella longiceps),,
P072,Shark (Carcharhinus sorrah),,
P073,"Shark, hammer head  (Sphyrna mokarran)",,
P074,"Shark, spotted  (Stegostoma fasciatum)",,
P075,Shelavu (Sphyraena jello),,
P076,Silan (Silonia silondia),,
P077,Silk fish (Beryx sp.),,
P078,Silver carp  (Hypophthalmichthys molitrix),,
P079,Sole fish (Cynoglossus arel),,
P080,Stingray (Dasyatis pastinaca),,
P081,Tarlava (Drepane punctata) 414,,
P082,Tholam (Plectorhinchus schotaf),,
P083,Tilapia (Oreochromis niloticus),,
P084,Tuna (Euthynnus affinis),,
P085,"Tuna, striped (Katsuwonus pelamis)",,
P086,Valava (Chirocentrus nudus),,
P087,Vanjaram (Scomberomorus commerson ),,
P088,Vela meen (Aprion virescens),,
P089,Vora (Siganus javus),,
P090,Whale shark  (Galeocerdo cuvier),,
P091,Xiphinis (Xiphias gladius),,
P092,"EZ.ggs, Cat fish (Ompok bimaculatus)",,
Q001,Crab (Menippe mercenaria),,
Q002,"Crab, sea (Portunus sanguinolentus)",,
Q003,"Lobster, brown  (Thenus orientalis)",,
Q004,"Lobster, king size  (Thenus orientalis)",,
Q005,Mud crab (Scylla tranquebarica),,
Q006,Oyster (Crassostrea sp.),,
Q007,"Tiger prawns, brown  (Solenocera crassicornis)",,
Q008,"Tiger Prawns, orange (Penaeus monodon)",,
R001,"Clam, green shell (Perna viridis )",,
R002,"Clam, white shell, ribbed (Meretrix meretrix)",,
R003,Octopus (Octopus vulgaris),,
R004,"Squid, black (Loligo sp.)",,
R005,"Squid, hard shell (Sepia pharaonis)",,
R006,"Squid, red  (Loligo duvaucelii)",,
R007,"Squid, white, small  (Uroteuthis duvauceli )",,
S001,Cat fish (Tandanus tandanus),,
S002,Catla (Catla catla),,
S003,Freshwater Eel  (Anguilla anguilla),,
S004,Gold fish (Carassius auratus),,
S005,Pangas  (Pangasianodon hypophthalmus),,
S006,Rohu (Labeo rohita),,
S007,Crab (Pachygrapsus sp.),,
S008,"Prawns, big (Macrobrachium rosenbergii)",,
S009,"Prawns, small  (Macrobrachium sp.)",,
S010,Tiger prawns (Macrobrachium sp.),,
